"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"399","0 Fountain Road, Fordsburg, Johannesburg","422","0 Langenhoven Street, Montgomery Park, Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",868,564,1335
"399","0 Fountain Road, Fordsburg, Johannesburg","423","0 7th Street, Linden, Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",896,616,1301
"399","0 Fountain Road, Fordsburg, Johannesburg","424","100 Hill Street, Ferndale, Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",1255,898,1752
"399","0 Fountain Road, Fordsburg, Johannesburg","425","0 Gordon Avenue, Blairgowrie, Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",1331,925,1913
"399","0 Fountain Road, Fordsburg, Johannesburg","426","0 Daniel Street, Solridge, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",1646,1179,2296
"399","0 Fountain Road, Fordsburg, Johannesburg","430","0 Colinton Road, Morningside Manor, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",1119,692,1809
"399","0 Fountain Road, Fordsburg, Johannesburg","431","0 Lilium Avenue, Marlboro Gardens, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",949,606,1485
"399","0 Fountain Road, Fordsburg, Johannesburg","432","0 Gousblom Crescent, Marlboro Gardens, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",2562,1356,4839
"399","0 Fountain Road, Fordsburg, Johannesburg","433","0 Queen Alexandra Road, Lombardy East, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",2013,1039,3897
"399","0 Fountain Road, Fordsburg, Johannesburg","434","Unnamed Road, Rietfontein 61-Ir, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",1514,858,2670
"399","0 Fountain Road, Fordsburg, Johannesburg","435","0 Study Road, Glenhazel, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",1408,955,2075
"399","0 Fountain Road, Fordsburg, Johannesburg","436","100 4th Street, Kew, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",1210,783,1869
"399","0 Fountain Road, Fordsburg, Johannesburg","437","300 Bank Avenue, Alexandra, Alexandra","07/31/2016 - 08/28/2016, Every day, Daily Average",1417,911,2202
"399","0 Fountain Road, Fordsburg, Johannesburg","438","0 4th Street, Wynberg, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",936,566,1546
"399","0 Fountain Road, Fordsburg, Johannesburg","443","0 Kelvin Road, Raumaraispark, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",740,470,1164
"399","0 Fountain Road, Fordsburg, Johannesburg","444","0 5th Street, Parkmore, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",1552,1051,2289
"399","0 Fountain Road, Fordsburg, Johannesburg","445","100 West Street, Sandown, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",1226,853,1760
"399","0 Fountain Road, Fordsburg, Johannesburg","446","0 Rulin Road, Hyde Park, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",1084,725,1619
"399","0 Fountain Road, Fordsburg, Johannesburg","447","0 Rutland Avenue, Craighall Park, Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",1042,737,1472
"399","0 Fountain Road, Fordsburg, Johannesburg","448","0 9th Avenue, Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",839,561,1254
"399","0 Fountain Road, Fordsburg, Johannesburg","449","0 North Street, Birdhaven, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",625,370,1054
"399","0 Fountain Road, Fordsburg, Johannesburg","450","100 Linden Street, Sandown, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",949,610,1476
"399","0 Fountain Road, Fordsburg, Johannesburg","452","0 Albert Street, Weltevredenpark, Roodepoort","07/31/2016 - 08/28/2016, Every day, Daily Average",1340,995,1803
"399","0 Fountain Road, Fordsburg, Johannesburg","453","0 Peperboom Avenue, Weltevredenpark, Roodepoort","07/31/2016 - 08/28/2016, Every day, Daily Average",1553,1144,2106
"399","0 Fountain Road, Fordsburg, Johannesburg","454","Diepkloof Street, Panorama 200 Iq, Roodepoort","07/31/2016 - 08/28/2016, Every day, Daily Average",1651,1258,2166
"399","0 Fountain Road, Fordsburg, Johannesburg","455","0 Glover Road, Wilgespruit 190-Iq, Roodepoort","07/31/2016 - 08/28/2016, Every day, Daily Average",1811,1419,2310
"399","0 Fountain Road, Fordsburg, Johannesburg","457","0 Hendrik Road, Poortview AH, Roodepoort","07/31/2016 - 08/28/2016, Every day, Daily Average",1851,1443,2374
"399","0 Fountain Road, Fordsburg, Johannesburg","459","Wilhelmina Avenue, Allen's Nek, Roodepoort","07/31/2016 - 08/28/2016, Every day, Daily Average",1487,1097,2014
"399","0 Fountain Road, Fordsburg, Johannesburg","460","0 Ellis Street, Constantia Kloof, Roodepoort","07/31/2016 - 08/28/2016, Every day, Daily Average",1180,845,1645
"399","0 Fountain Road, Fordsburg, Johannesburg","461","0 Goldman Street, Florida, Roodepoort","07/31/2016 - 08/28/2016, Every day, Daily Average",1134,806,1594
"399","0 Fountain Road, Fordsburg, Johannesburg","462","Arthur Matthews Avenue, Maraisburg, Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",946,696,1284
"399","0 Fountain Road, Fordsburg, Johannesburg","463","0 Flamingo Street, Florida Lake, Roodepoort","07/31/2016 - 08/28/2016, Every day, Daily Average",1260,957,1658
"399","0 Fountain Road, Fordsburg, Johannesburg","464","0 Lelie Street, Florida Park, Roodepoort","07/31/2016 - 08/28/2016, Every day, Daily Average",1411,983,2024
"399","0 Fountain Road, Fordsburg, Johannesburg","465","0 Cutten Street, Horison, Roodepoort","07/31/2016 - 08/28/2016, Every day, Daily Average",1635,1204,2218
"399","0 Fountain Road, Fordsburg, Johannesburg","466","0 Matrys Avenue, Kloofendal, Roodepoort","07/31/2016 - 08/28/2016, Every day, Daily Average",1697,1133,2541
"399","0 Fountain Road, Fordsburg, Johannesburg","467","0 Crous Drive, Helderkruin, Roodepoort","07/31/2016 - 08/28/2016, Every day, Daily Average",2025,1423,2879
"399","0 Fountain Road, Fordsburg, Johannesburg","468","0 Naboom Street, Wilro Park, Roodepoort","07/31/2016 - 08/28/2016, Every day, Daily Average",2234,1525,3272
"399","0 Fountain Road, Fordsburg, Johannesburg","469","700 Vermooten Road, Grobler Park, Roodepoort","07/31/2016 - 08/28/2016, Every day, Daily Average",2178,1573,3013
"399","0 Fountain Road, Fordsburg, Johannesburg","470","0 Wight Street, Roodepoort","07/31/2016 - 08/28/2016, Every day, Daily Average",1517,1146,2007
"399","0 Fountain Road, Fordsburg, Johannesburg","472","0 Tennyson Drive, Tulisa Park, Johannesburg South","07/31/2016 - 08/28/2016, Every day, Daily Average",691,520,916
"399","0 Fountain Road, Fordsburg, Johannesburg","473","Iridium Street, Davidsonville, Roodepoort","07/31/2016 - 08/28/2016, Every day, Daily Average",1525,1279,1818
"399","0 Fountain Road, Fordsburg, Johannesburg","474","0 Maroela Street, Bosmont, Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",821,569,1182
"399","0 Fountain Road, Fordsburg, Johannesburg","475","0 Nobel Street, Industria West, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",706,383,1299
"399","0 Fountain Road, Fordsburg, Johannesburg","476","0 Clivia Avenue, Riverlea, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",659,423,1025
"399","0 Fountain Road, Fordsburg, Johannesburg","477","100 Main Reef Road, Amalgam, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",234,111,490
"399","0 Fountain Road, Fordsburg, Johannesburg","479","Mpumelelo Road, Doornfontein 92-Ir, Johannesburg South","07/31/2016 - 08/28/2016, Every day, Daily Average",300,192,468
"399","0 Fountain Road, Fordsburg, Johannesburg","480","0 Pendula Road, Heriotdale, Johannesburg South","07/31/2016 - 08/28/2016, Every day, Daily Average",530,307,912
"399","0 Fountain Road, Fordsburg, Johannesburg","481","100 Houer Street, Elandsfontein 107-Ir, Johannesburg South","07/31/2016 - 08/28/2016, Every day, Daily Average",727,449,1174
"399","0 Fountain Road, Fordsburg, Johannesburg","482","5500 South Rand Road, Johannesburg South","07/31/2016 - 08/28/2016, Every day, Daily Average",745,487,1137
"399","0 Fountain Road, Fordsburg, Johannesburg","483","0 Vickers Road, City Deep, Johannesburg South","07/31/2016 - 08/28/2016, Every day, Daily Average",517,327,815
"399","0 Fountain Road, Fordsburg, Johannesburg","484","0 Nephin Road, South Hills, Johannesburg South","07/31/2016 - 08/28/2016, Every day, Daily Average",532,320,882
"399","0 Fountain Road, Fordsburg, Johannesburg","485","100 Victoria Street, Rosettenville, Johannesburg South","07/31/2016 - 08/28/2016, Every day, Daily Average",748,436,1281
"399","0 Fountain Road, Fordsburg, Johannesburg","486","Kliprivier Drive, Johannesburg South","07/31/2016 - 08/28/2016, Every day, Daily Average",1127,821,1545
"399","0 Fountain Road, Fordsburg, Johannesburg","487","100 Impala Road, Rietvlei 101-Ir, Johannesburg South","07/31/2016 - 08/28/2016, Every day, Daily Average",847,600,1193
"399","0 Fountain Road, Fordsburg, Johannesburg","488","0 Modulus Road, Boysens, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",343,185,635
"399","0 Fountain Road, Fordsburg, Johannesburg","489","14900 Gere Street, Diepkloof Zone 3, Diepkloof","07/31/2016 - 08/28/2016, Every day, Daily Average",801,512,1250
"399","0 Fountain Road, Fordsburg, Johannesburg","490","D1854 Road, Johannesburg South","07/31/2016 - 08/28/2016, Every day, Daily Average",889,662,1192
"399","0 Fountain Road, Fordsburg, Johannesburg","491","3400 Blue Bush Road, Naturena, Johannesburg South","07/31/2016 - 08/28/2016, Every day, Daily Average",763,536,1085
"399","0 Fountain Road, Fordsburg, Johannesburg","493","0 Cecil Street, Meredale, Johannesburg South","07/31/2016 - 08/28/2016, Every day, Daily Average",553,373,819
"399","0 Fountain Road, Fordsburg, Johannesburg","494","100 Bellefield Avenue, Mondeor, Johannesburg South","07/31/2016 - 08/28/2016, Every day, Daily Average",592,380,921
"399","0 Fountain Road, Fordsburg, Johannesburg","495","0 Turf Street, Forest Hill, Johannesburg South","07/31/2016 - 08/28/2016, Every day, Daily Average",641,400,1025
"399","0 Fountain Road, Fordsburg, Johannesburg","496","0 Noorde Hoek, Robertsham, Johannesburg South","07/31/2016 - 08/28/2016, Every day, Daily Average",367,230,585
"399","0 Fountain Road, Fordsburg, Johannesburg","497","100 Aeroton Road, Aeroton, Johannesburg South","07/31/2016 - 08/28/2016, Every day, Daily Average",575,349,946
"399","0 Fountain Road, Fordsburg, Johannesburg","498","Soweto Highway, Mooifontein 225-Iq, Johannesburg South","07/31/2016 - 08/28/2016, Every day, Daily Average",649,425,988
"399","0 Fountain Road, Fordsburg, Johannesburg","499","1200 Reduktor Avenue, Stormill, Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",748,553,1010
"399","0 Fountain Road, Fordsburg, Johannesburg","500","300 Houtkapper Street, Vogelstruisfontein, Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",1080,790,1474
"399","0 Fountain Road, Fordsburg, Johannesburg","501","Unnamed Road, Bram Fischerville, Soweto","07/31/2016 - 08/28/2016, Every day, Daily Average",1609,1214,2132
"399","0 Fountain Road, Fordsburg, Johannesburg","502","Adcock Street, Tshepisong, Soweto","07/31/2016 - 08/28/2016, Every day, Daily Average",1676,1399,2006
"399","0 Fountain Road, Fordsburg, Johannesburg","505","0 Mthabela Street, Jabulani, Soweto","07/31/2016 - 08/28/2016, Every day, Daily Average",1830,1355,2470
"399","0 Fountain Road, Fordsburg, Johannesburg","506","7900 Heckroodt Circle, Meadowlands East Zone 3, Meadowlands East","07/31/2016 - 08/28/2016, Every day, Daily Average",1162,866,1558
"399","0 Fountain Road, Fordsburg, Johannesburg","507","11400 Agnes Street, Diepkloof Zone 2, Diepkloof","07/31/2016 - 08/28/2016, Every day, Daily Average",814,504,1313
"399","0 Fountain Road, Fordsburg, Johannesburg","509","1500 Mtipa Street, Dube, Soweto","07/31/2016 - 08/28/2016, Every day, Daily Average",1122,748,1681
"399","0 Fountain Road, Fordsburg, Johannesburg","510","600 Mlangeni Street, Jabavu, Soweto","07/31/2016 - 08/28/2016, Every day, Daily Average",1637,1195,2241
"399","0 Fountain Road, Fordsburg, Johannesburg","511","5300 Ihlokohloko Street, Protea Glen, Soweto","07/31/2016 - 08/28/2016, Every day, Daily Average",1638,1022,2624
"399","0 Fountain Road, Fordsburg, Johannesburg","512","1400 Bereng Street, Mapetla, Soweto","07/31/2016 - 08/28/2016, Every day, Daily Average",1704,1259,2305
